platformId,runId,algorithm,dataset,fitTime,trainCount,transformTime,testCount,features,accuracy,family
0,0,LENET5,DM,311000,60000.0,18000,10000.0,784,0.9866,classification
1,0,LENET5,DM,264000,60000.0,16000,10000.0,784,0.9854,classification
2,0,LENET5,DM,264000,60000.0,16000,10000.0,784,0.9866,classification
3,0,LENET5,DM,348000,60000.0,18000,10000.0,784,0.9858,classification
4,0,LENET5,DM,329000,60000.0,18000,10000.0,784,0.9859,classification
5,0,LENET5,DM,319000,60000.0,18000,10000.0,784,0.9846,classification
6,0,LENET5,DM,318000,60000.0,18000,10000.0,784,0.9872,classification
7,0,LENET5,DM,306000,60000.0,18000,10000.0,784,0.9861,classification
8,0,LENET5,DM,310000,60000.0,18000,10000.0,784,0.9825,classification
9,0,LENET5,DM,306000,60000.0,18000,10000.0,784,0.9847,classification
10,0,LENET5,DM,310000,60000.0,18000,10000.0,784,0.9853,classification
11,0,LENET5,DM,309000,60000.0,18000,10000.0,784,0.9864,classification
12,0,LENET5,DM,312000,60000.0,18000,10000.0,784,0.9868,classification
13,0,LENET5,DM,312000,60000.0,19000,10000.0,784,0.9843,classification
14,0,LENET5,DM,311000,60000.0,18000,10000.0,784,0.9840000000000001,classification
15,0,LENET5,DM,312000,60000.0,18000,10000.0,784,0.9849,classification
16,0,LENET5,DM,311000,60000.0,18000,10000.0,784,0.9858,classification
17,0,LENET5,DM,316000,60000.0,18000,10000.0,784,0.9845,classification
18,0,LENET5,DM,310000,60000.0,18000,10000.0,784,0.9841,classification
19,0,LENET5,DM,311000,60000.0,18000,10000.0,784,0.9855,classification
20,0,LENET5,DM,308000,60000.0,18000,10000.0,784,0.9813,classification
22,0,LENET5,DM,316000,60000.0,18000,10000.0,784,0.9867,classification
23,0,LENET5,DM,314000,60000.0,17000,10000.0,784,0.9855,classification
24,0,LENET5,DM,316000,60000.0,18000,10000.0,784,0.9872,classification
25,0,LENET5,DM,309000,60000.0,18000,10000.0,784,0.9867,classification
26,0,LENET5,DM,310000,60000.0,18000,10000.0,784,0.9811,classification
27,0,LENET5,DM,315000,60000.0,18000,10000.0,784,0.981,classification
28,0,LENET5,DM,311000,60000.0,18000,10000.0,784,0.9857,classification
29,0,LENET5,DM,308000,60000.0,18000,10000.0,784,0.9853,classification
30,0,LENET5,DM,312000,60000.0,18000,10000.0,784,0.9838,classification
31,0,LENET5,DM,311000,60000.0,18000,10000.0,784,0.9874,classification
32,0,LENET5,DM,316000,60000.0,18000,10000.0,784,0.9858,classification
33,0,LENET5,DM,314000,60000.0,18000,10000.0,784,0.9835,classification
