algorithm,acronym,hp,hpValue
GBT-maxBins-4,GBT,maxBins,4
GBT-maxBins-16,GBT,maxBins,16
GBT-maxBins-32,GBT,maxBins,32
GBT-maxBins-48,GBT,maxBins,48
GBT-maxDepth-5,GBT,maxDepth,5
GBT-maxDepth-10,GBT,maxDepth,10
GBT-maxDepth-15,GBT,maxDepth,15
GBT-maxDepth-20,GBT,maxDepth,20
GBT-maxIter-5,GBT,maxIter,5
GBT-maxIter-10,GBT,maxIter,10
GBT-maxIter-15,GBT,maxIter,15
GBT-maxIter-20,GBT,maxIter,20
GBT-maxIter-50,GBT,maxIter,50
GBT-maxIter-100,GBT,maxIter,100
GBT-stepSize-0.003,GBT,stepSize,0.003
GBT-stepSize-0.03,GBT,stepSize,0.03
GBT-stepSize-0.3,GBT,stepSize,0.3
