platformId,spark.shuffle.file.buffer,spark.master,spark.storage.memoryFraction,spark.rdd.compress,spark.shuffle.spill.compress,spark.executor.cores,spark.executor.memory,spark.shuffle.io.preferDirectBufs,spark.io.compression.codec,spark.shuffle.compress,spark.cores.max,spark.reducer.maxSizeInFlight,spark.locality.wait,spark.serializer
32,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,512m,3s,org.apache.spark.serializer.JavaSerializer
41,32k,spark://master:7077,0.6,False,False,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
14,32k,spark://master:7077,0.6,False,True,8,15g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
8,32k,spark://master:7077,0.6,False,True,10,5g,True,lz4,True,240,48m,3s,org.apache.spark.serializer.JavaSerializer
42,32k,spark://master:7077,0.1,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
45,32k,spark://master:7077,0.8,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
31,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,256m,3s,org.apache.spark.serializer.JavaSerializer
35,8k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
1,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,96,48m,3s,org.apache.spark.serializer.JavaSerializer
5,32k,spark://master:7077,0.6,False,True,4,5g,True,lz4,True,96,48m,3s,org.apache.spark.serializer.JavaSerializer
17,32k,spark://master:7077,0.6,False,True,8,30g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
44,32k,spark://master:7077,0.4,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
11,32k,spark://master:7077,0.6,False,True,16,5g,True,lz4,True,384,48m,3s,org.apache.spark.serializer.JavaSerializer
18,32k,spark://master:7077,0.6,False,True,8,50g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
3,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,384,48m,3s,org.apache.spark.serializer.JavaSerializer
43,32k,spark://master:7077,0.2,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
30,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,128m,3s,org.apache.spark.serializer.JavaSerializer
19,32k,spark://master:7077,0.6,False,True,8,70g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
15,32k,spark://master:7077,0.6,False,True,8,20g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
38,256k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
6,32k,spark://master:7077,0.6,False,True,6,5g,True,lz4,True,144,48m,3s,org.apache.spark.serializer.JavaSerializer
22,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,10ms,org.apache.spark.serializer.JavaSerializer
36,64k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
0,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
25,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,1s,org.apache.spark.serializer.JavaSerializer
34,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,False,192,48m,3s,org.apache.spark.serializer.JavaSerializer
20,32k,spark://master:7077,0.6,False,True,8,100g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
40,32k,spark://master:7077,0.6,False,True,8,5g,False,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
37,128k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
2,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,256,48m,3s,org.apache.spark.serializer.JavaSerializer
33,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.KryoSerializer
9,32k,spark://master:7077,0.6,False,True,12,5g,True,lz4,True,288,48m,3s,org.apache.spark.serializer.JavaSerializer
23,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,100ms,org.apache.spark.serializer.JavaSerializer
13,32k,spark://master:7077,0.6,False,True,8,10g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
39,512k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
10,32k,spark://master:7077,0.6,False,True,14,5g,True,lz4,True,336,48m,3s,org.apache.spark.serializer.JavaSerializer
27,32k,spark://master:7077,0.6,True,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
12,32k,spark://master:7077,0.6,False,True,8,2g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
16,32k,spark://master:7077,0.6,False,True,8,25g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
24,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,500ms,org.apache.spark.serializer.JavaSerializer
4,32k,spark://master:7077,0.6,False,True,2,5g,True,lz4,True,48,48m,3s,org.apache.spark.serializer.JavaSerializer
7,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
26,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,48m,10s,org.apache.spark.serializer.JavaSerializer
21,32k,spark://master:7077,0.6,False,True,8,5g,True,snappy,True,192,48m,3s,org.apache.spark.serializer.JavaSerializer
28,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,12m,3s,org.apache.spark.serializer.JavaSerializer
29,32k,spark://master:7077,0.6,False,True,8,5g,True,lz4,True,192,72m,3s,org.apache.spark.serializer.JavaSerializer
