acronym,algorithm,hp1,val1,hp2,val2
DT,DT-maxDepth-5-maxBins-16,maxDepth,5.0,maxBins,16.0
DT,DT-maxDepth-5-maxBins-32,maxDepth,5.0,maxBins,32.0
DT,DT-maxDepth-5-maxBins-48,maxDepth,5.0,maxBins,48.0
DT,DT-maxDepth-10-maxBins-16,maxDepth,10.0,maxBins,16.0
DT,DT-maxDepth-10-maxBins-32,maxDepth,10.0,maxBins,32.0
DT,DT-maxDepth-10-maxBins-48,maxDepth,10.0,maxBins,48.0
DT,DT-maxDepth-15-maxBins-16,maxDepth,15.0,maxBins,16.0
DT,DT-maxDepth-15-maxBins-32,maxDepth,15.0,maxBins,32.0
DT,DT-maxDepth-15-maxBins-48,maxDepth,15.0,maxBins,48.0
DT,DT-maxBins-16-maxDepth-5,maxBins,16.0,maxDepth,5.0
DT,DT-maxBins-32-maxDepth-5,maxBins,32.0,maxDepth,5.0
DT,DT-maxBins-48-maxDepth-5,maxBins,48.0,maxDepth,5.0
DT,DT-maxBins-16-maxDepth-10,maxBins,16.0,maxDepth,10.0
DT,DT-maxBins-32-maxDepth-10,maxBins,32.0,maxDepth,10.0
DT,DT-maxBins-48-maxDepth-10,maxBins,48.0,maxDepth,10.0
DT,DT-maxBins-16-maxDepth-15,maxBins,16.0,maxDepth,15.0
DT,DT-maxBins-32-maxDepth-15,maxBins,32.0,maxDepth,15.0
DT,DT-maxBins-48-maxDepth-15,maxBins,48.0,maxDepth,15.0
